,Title,Worldwide,Domestic,% Domestic,Foreign,% Foreign
1152,The Third Wife,"$302,159 ","$84,933 ",28.10%,"$217,226 ",71.90%
1153,Meeting Gorbachev,"$301,937 ","$251,837 ",83.40%,"$50,100 ",16.60%
1154,Cliffs of Freedom,"$300,842 ","$72,476 ",24.10%,"$228,366 ",75.90%
1155,Plácido Domingo Gala,"$299,360 ","$52,502 ",17.50%,"$246,858 ",82.50%
1156,Shakira in Concert: El Dorado World Tour,"$294,677 ","$271,586 ",92.20%,"$23,091 ",7.80%
1157,The Giant Spider Invasion,"$293,053 ","$293,053 ",100%,-,-
1158,The Zoya Factor,"$289,631 ","$128,831 ",44.50%,"$160,800 ",55.50%
1159,Saga of Tanya the Evil - The Movie,"$288,460 ","$288,460 ",100%,-,-
1160,Khalid: Free Spirit,"$284,229 ","$284,229 ",100%,-,-
1161,Mike Wallace Is Here,"$281,245 ","$281,245 ",100%,-,-
1162,Octaman,"$280,710 ","$280,710 ",100%,-,-
1163,See You Soon,"$277,126 ",-,-,"$277,126 ",100%
1164,True Grit 2019 Re-release,"$276,418 ","$276,418 ",100%,-,-
1165,Slayer: The Repentless Killogy,"$272,874 ","$268,727 ",98.50%,"$4,147 ",1.50%
1166,One Child Nation,"$271,841 ","$270,128 ",99.40%,"$1,713 ",0.60%
1167,Luzia: Cirque du Soleil in Cinema,"$265,673 ","$265,673 ",100%,-,-
1168,Out of Liberty,"$265,279 ","$265,279 ",100%,-,-
1169,Asbury Park: Riot Redemption Rock 'n Roll,"$264,983 ","$167,684 ",63.30%,"$97,299 ",36.70%
1170,Her Smell,"$260,481 ","$255,599 ",98.10%,"$4,882 ",1.90%
1171,Star Raiders: The Adventures of Saber Raine,"$260,234 ","$260,234 ",100%,-,-
1172,I Got the Hook Up 2,"$252,293 ","$252,293 ",100%,-,-
1173,Canal Street,"$251,917 ","$251,917 ",100%,-,-
1174,The Twilight Zone: A 60th Anniversary Celebration,"$248,514 ","$248,514 ",100%,-,-
1175,Doctor Who: The End of Time: Part One,"$247,798 ","$247,798 ",100%,-,-
1176,American Woman,"$245,416 ","$236,637 ",96.40%,"$8,779 ",3.60%
1177,Out of Blue,"$242,847 ","$18,779 ",7.70%,"$224,068 ",92.30%
1178,311 Enlarged to Show Detail 3,"$238,791 ","$238,791 ",100%,-,-
1179,India's Most Wanted,"$235,351 ","$176,858 ",75.10%,"$58,493 ",24.90%
1180,Premier Boxing Champions: PBC on FOX: Spence vs. Porter,"$232,973 ","$232,973 ",100%,-,-
1181,DAZN Boxing: Canelo Alvarez vs. Daniel Jacobs,"$230,703 ","$230,703 ",100%,-,-
1182,Ophelia,"$229,405 ","$50,722 ",22.10%,"$178,683 ",77.90%
1183,Mine 9,"$226,421 ","$226,421 ",100%,-,-
1184,Premier Boxing Champions: PBC on FOX PPV: Pacquiao vs. Thurman,"$223,858 ","$223,858 ",100%,-,-
1185,First Love,"$218,329 ","$218,329 ",100%,-,-
1186,The Karate Kid 2019 Re-release,"$215,447 ","$215,447 ",100%,-,-
1187,Hamlet 2019 Re-release,"$214,578 ","$214,578 ",100%,-,-
1188,Tigers Are Not Afraid 2019 Re-release,"$210,138 ","$175,559 ",83.50%,"$34,579 ",16.50%
1189,"Faith, Hope & Love","$210,091 ","$210,091 ",100%,-,-
1190,Kathy Griffin: A Hell of a Story,"$208,907 ","$208,907 ",100%,-,-
1191,Batman 2019 Re-release,"$207,901 ","$159,419 ",76.70%,"$48,482 ",23.30%
1192,Millennium Actress 2019 Re-release,"$207,312 ","$207,312 ",100%,-,-
1193,The Iron Orchard,"$204,881 ","$204,881 ",100%,-,-
1194,Hesburgh,"$204,709 ","$204,709 ",100%,-,-
1195,Play the Flute,"$203,956 ","$203,956 ",100%,-,-
1196,Forrest Gump 2019 Re-release,"$203,088 ","$203,088 ",100%,-,-
1197,Blink of an Eye,"$201,874 ","$201,874 ",100%,-,-
1198,Family,"$194,601 ","$194,601 ",100%,-,-
1199,The Divine Plan,"$190,031 ","$190,031 ",100%,-,-
1200,Working Woman,"$185,912 ","$64,048 ",34.50%,"$121,864 ",65.50%
1201,To Dust,"$184,495 ","$184,495 ",100%,-,-
1202,The River and the Wall,"$183,602 ","$183,602 ",100%,-,-
1203,Giant Little Ones,"$181,507 ","$181,507 ",100%,-,-
1204,Rafiki,"$181,316 ","$137,968 ",76.10%,"$43,348 ",23.90%
1205,Mr. Klein,"$178,408 ","$178,408 ",100%,-,-
1206,Walking on Water,"$178,119 ","$102,140 ",57.30%,"$75,979 ",42.70%
1207,Modest Heroes,"$178,027 ","$178,027 ",100%,-,-
1208,The Warrior Queen of Jhansi,"$177,289 ","$177,289 ",100%,-,-
1209,"Iyengar: The Man, Yoga, and the Student's Journey","$176,387 ","$176,387 ",100%,-,-
1210,Bolshoi Ballet: The Golden Age,"$171,916 ","$171,916 ",100%,-,-
1211,Little Woods,"$171,912 ","$150,010 ",87.30%,"$21,902 ",12.70%
1212,Palau the Movie,"$171,155 ","$134,696 ",78.70%,"$36,459 ",21.30%
1213,Britt-Marie Was Here,"$168,488 ","$36,549 ",21.70%,"$131,939 ",78.30%
1214,Them That Follow,"$166,262 ","$159,218 ",95.80%,"$7,044 ",4.20%
1215,Bright Ones,"$165,627 ","$165,627 ",100%,-,-
1216,The Chambermaid,"$164,531 ","$86,422 ",52.50%,"$78,109 ",47.50%
1217,Halston,"$161,675 ","$151,991 ",94%,"$9,684 ",6%
1218,"Diana Ross: Her Life, Love and Legacy","$160,968 ","$160,968 ",100%,-,-
1219,Buñuel in the Labyrinth of the Turtles,"$156,432 ","$36,205 ",23.10%,"$120,227 ",76.90%
1220,Money,"$155,732 ","$155,732 ",100%,-,-
1221,Before You Know It,"$151,507 ","$151,507 ",100%,-,-
1222,Jay Myself,"$151,331 ","$151,331 ",100%,-,-
1223,Glory 2019 Re-release,"$150,801 ","$150,801 ",100%,-,-
1224,Piercing,"$149,211 ","$15,856 ",10.60%,"$133,355 ",89.40%
1225,Trial by Fire,"$148,504 ","$148,504 ",100%,-,-
1226,War and Peace,"$148,503 ","$148,503 ",100%,-,-
1227,Driven,"$147,172 ",-,-,"$147,172 ",100%
1228,Framing John DeLorean,"$145,625 ","$145,625 ",100%,-,-
1229,Doctor Who: Logopolis: Part One/Doctor Who: Logopolis: Part Two/Doctor Who: Logopolis: Part Three/Doctor Who: Logopolis: Part Four/Doctor Who,"$143,248 ","$143,248 ",100%,-,-
1230,INXS: Baby Live at Wembly Stadium,"$142,395 ",-,-,"$142,395 ",100%
1231,Canelo vs. Kovalev,"$140,820 ","$140,820 ",100%,-,-
1232,Who Will Write Our History,"$138,039 ","$138,039 ",100%,-,-
1233,Lynryd Skynyrd: Last of the Street Survivors Farewell Tour,"$137,888 ","$137,888 ",100%,-,-
1234,Sonchiriya,"$135,413 ","$86,765 ",64.10%,"$48,648 ",35.90%
1235,The Other Story,"$135,191 ","$135,191 ",100%,-,-
1236,Made in Abyss: Journey's Dawn,"$134,194 ","$134,047 ",99.90%,$147 ,0.10%
1237,The Wind,"$130,974 ","$28,252 ",21.60%,"$102,722 ",78.40%
1238,Mister America,"$130,897 ","$130,897 ",100%,-,-
1239,Little Monsters,"$130,381 ",-,-,"$130,381 ",100%
1240,Section 375,"$129,916 ",-,-,"$129,916 ",100%
1241,Paris Is Burning 2019 Re-release,"$125,677 ","$125,677 ",100%,-,-
1242,This Changes Everything,"$125,348 ","$64,988 ",51.80%,"$60,360 ",48.20%
1243,Mary Magdalene 2019 Re-release,"$124,741 ","$124,741 ",100%,-,-
1244,Easy Rider 2019 Re-release,"$123,276 ","$123,276 ",100%,-,-
1245,Be Natural: The Untold Story of Alice Guy-Blaché,"$122,909 ","$113,765 ",92.60%,"$9,144 ",7.40%
1246,A Tuba to Cuba,"$121,772 ","$121,772 ",100%,-,-
1247,Avant qu'on explose,"$119,894 ","$119,894 ",100%,-,-
1248,Mob Psycho 100,"$115,766 ","$115,766 ",100%,-,-
1249,Police Story,"$113,164 ","$113,164 ",100%,-,-
1250,Skin,"$112,833 ",-,-,"$112,833 ",100%
1251,Babylon,"$109,749 ","$109,749 ",100%,-,-
1252,The Whistlers,"$109,557 ",-,-,"$109,557 ",100%
1253,Little Joe,"$107,466 ",-,-,"$107,466 ",100%
1254,The Brink,"$106,057 ","$106,057 ",100%,-,-
1255,Cold Case Hammarskjöld,"$104,965 ","$104,965 ",100%,-,-
1256,Hotel by the River,"$101,879 ","$28,354 ",27.80%,"$73,525 ",72.20%
1257,Varda by Agnès,"$100,372 ","$28,432 ",28.30%,"$71,940 ",71.70%
1258,Heavy Water,"$99,503 ","$55,446 ",55.70%,"$44,057 ",44.30%
1259,High Strung Free Dance 2019 Re-release,"$98,481 ","$83,891 ",85.20%,"$14,590 ",14.80%
1260,Charlie Says,"$98,240 ","$40,685 ",41.40%,"$57,555 ",58.60%
1261,Prassthanam,"$97,204 ","$19,984 ",20.60%,"$77,220 ",79.40%
1262,Saint Judy,"$96,212 ","$78,935 ",82%,"$17,277 ",18%
1263,Papi Chulo,"$94,321 ","$84,703 ",89.80%,"$9,618 ",10.20%
1264,A Bigger Splash 2019 Re-release,"$91,303 ","$91,303 ",100%,-,-
1265,Mapplethorpe,"$91,002 ","$91,002 ",100%,-,-
1266,Loopers: The Caddie's Long Walk,"$90,679 ","$90,679 ",100%,-,-
1267,The Lumber Baron,"$88,336 ","$88,336 ",100%,-,-
1268,Jim Allison: Breakthrough,"$87,984 ","$87,984 ",100%,-,-
1269,ECCO,"$86,858 ","$86,858 ",100%,-,-
1270,Vault,"$86,630 ","$29,491 ",34%,"$57,139 ",66%
1271,Cyrano de Bergerac,"$86,300 ","$86,300 ",100%,-,-
1272,Skid Row Marathon,"$84,997 ","$84,997 ",100%,-,-
1273,Woodstock,"$84,440 ","$84,440 ",100%,-,-
1274,The Final Wish,"$82,959 ","$25,183 ",30.40%,"$57,776 ",69.60%
1275,Prey,"$82,258 ",-,-,"$82,258 ",100%
1276,Batman Returns 2019 Re-release,"$80,699 ","$70,642 ",87.50%,"$10,057 ",12.50%
1277,Ms. Purple,"$80,657 ","$80,657 ",100%,-,-
1278,Armstrong,"$79,854 ","$19,740 ",24.70%,"$60,114 ",75.30%
1279,Fast Color,"$76,916 ","$76,916 ",100%,-,-
1280,"Love, Antosha","$75,308 ","$50,168 ",66.60%,"$25,140 ",33.40%
1281,Christ Stopped at Eboli,"$74,349 ","$74,349 ",100%,-,-
1282,5B,"$72,968 ","$72,968 ",100%,-,-
1283,Greener Grass,"$71,838 ","$51,456 ",71.60%,"$20,382 ",28.40%
1284,Free Trip to Egypt 2019 Re-release,"$71,087 ","$71,087 ",100%,-,-
1285,Last Year at Marienbad 2019 Re-release,"$68,402 ","$63,425 ",92.70%,"$4,977 ",7.30%
1286,Being Frank,"$67,343 ","$67,343 ",100%,-,-
1287,QT8: The First Eight,"$65,188 ","$51,896 ",79.60%,"$13,292 ",20.40%
1288,End of the Century,"$64,880 ","$64,880 ",100%,-,-
1289,The Kingmaker,"$62,874 ","$62,874 ",100%,-,-
1290,The Mountain,"$61,035 ","$61,035 ",100%,-,-
1291,¡He matado a mi marido!,"$60,995 ","$45,777 ",75.10%,"$15,218 ",24.90%
1292,John Fogerty: 50 Year Trip - Live at Red Rocks,"$59,795 ","$59,795 ",100%,-,-
1293,Making Waves: The Art of Cinematic Sound,"$57,144 ","$46,290 ",81%,"$10,854 ",19%
1294,Notebook,"$56,166 ",-,-,"$56,166 ",100%
1295,Kind Hearts and Coronets 2019 Re-release,"$52,193 ","$8,004 ",15.30%,"$44,189 ",84.70%
1296,Clinton Road,"$50,400 ","$50,400 ",100%,-,-
1297,Free Trip to Egypt,"$49,693 ","$49,693 ",100%,-,-
1298,The Bounty Killer,"$48,815 ","$48,815 ",100%,-,-
1299,The Queen,"$47,818 ","$47,818 ",100%,-,-
1300,The Raft,"$47,269 ","$39,678 ",83.90%,"$7,591 ",16.10%
1301,High on the Hog,"$45,696 ","$45,696 ",100%,-,-
1302,The Proposal,"$45,149 ","$45,149 ",100%,-,-
1303,The Cave,"$45,096 ","$45,096 ",100%,-,-
1304,Celebration,"$44,898 ","$22,557 ",50.20%,"$22,341 ",49.80%
1305,What Is Democracy?,"$44,536 ","$44,536 ",100%,-,-
1306,Maze 2019 Re-release,"$44,381 ","$44,381 ",100%,-,-
1307,Carmine Street Guitars,"$44,253 ","$44,253 ",100%,-,-
1308,Union,"$41,656 ","$41,656 ",100%,-,-
1309,Slut in a Good Way,"$40,513 ","$40,513 ",100%,-,-
1310,Aniara,"$40,124 ","$40,124 ",100%,-,-
1311,Midnight Traveler,"$40,103 ","$40,103 ",100%,-,-
1312,Zilla and Zoe,"$39,003 ","$39,003 ",100%,-,-
1313,Shed of the Dead,"$38,901 ","$38,901 ",100%,-,-
1314,Batman Forever 2019 Re-release,"$38,387 ","$38,014 ",99%,$373 ,1%
1315,Memory: The Origins of Alien,"$37,272 ","$31,378 ",84.20%,"$5,894 ",15.80%
1316,What You Gonna Do When the World's on Fire?,"$37,195 ","$4,672 ",12.60%,"$32,523 ",87.40%
1317,The Quiet One,"$37,010 ","$37,010 ",100%,-,-
1318,The Death of Dick Long,"$36,856 ","$36,856 ",100%,-,-
1319,Our Time,"$36,240 ","$14,777 ",40.80%,"$21,463 ",59.20%
1320,Loro,"$35,613 ","$35,613 ",100%,-,-
1321,Killer Unicorn,"$33,901 ","$33,901 ",100%,-,-
1322,Moonlight Sonata: Deafness in Three Movements,"$33,823 ","$33,823 ",100%,-,-
1323,An Acceptable Loss,"$32,427 ","$32,427 ",100%,-,-
1324,10E,"$32,413 ","$32,413 ",100%,-,-
1325,Ága,"$32,087 ","$32,087 ",100%,-,-
1326,Desolation Center,"$32,016 ","$32,016 ",100%,-,-
1327,Buddy,"$31,203 ","$31,203 ",100%,-,-
1328,Gift,"$31,103 ","$31,103 ",100%,-,-
1329,Pasolini 2019 Re-release,"$30,757 ","$30,757 ",100%,-,-
1330,Los Reyes,"$30,418 ","$30,418 ",100%,-,-
1331,Lionel Richie at Glastonbury,"$30,123 ","$30,123 ",100%,-,-
1332,The Ground Beneath My Feet,"$29,251 ","$29,251 ",100%,-,-
1333,Batman & Robin 2019 Re-release,"$28,793 ","$28,597 ",99.30%,$196 ,0.70%
1334,The Cat Rescuers,"$28,698 ","$28,698 ",100%,-,-
1335,The Load,"$28,118 ","$28,118 ",100%,-,-
1336,El Norte 2019 Re-release,"$27,920 ","$27,920 ",100%,-,-
1337,Bauhaus Spirit: 100 Years of Bauhaus,"$27,768 ","$17,122 ",61.70%,"$10,646 ",38.30%
1338,"Leaving Home, Coming Home: A Portrait of Robert Frank","$27,073 ","$27,073 ",100%,-,-
1339,Wrestle,"$26,597 ","$26,597 ",100%,-,-
1340,Rosie,"$26,441 ","$6,839 ",25.90%,"$19,602 ",74.10%
1341,Donnybrook,"$26,284 ","$26,284 ",100%,-,-
1342,The Aspern Papers,"$24,554 ","$9,277 ",37.80%,"$15,277 ",62.20%
1343,Hyenas,"$24,272 ","$24,272 ",100%,-,-
1344,Chasing Einstein,"$24,057 ","$24,057 ",100%,-,-
1345,Ode to Joy,"$22,594 ","$17,303 ",76.60%,"$5,291 ",23.40%
1346,The Sound of Silence,"$21,994 ","$20,013 ",91%,"$1,981 ",9%
1347,Wicked Witches,"$21,600 ","$21,600 ",100%,-,-
1348,Round of Your Life,"$20,941 ","$20,941 ",100%,-,-
1349,General Magic,"$20,046 ","$20,046 ",100%,-,-
1350,The Gospel of Eureka,"$20,039 ","$20,039 ",100%,-,-
1351,Before Stonewall,"$18,724 ","$18,724 ",100%,-,-
1352,The Return of Martin Guerre 2019 Re-release,"$18,603 ","$18,603 ",100%,-,-
1353,"Phoenix, Oregon","$18,356 ","$18,356 ",100%,-,-
1354,Scandalous: The True Story of the National Enquirer,"$18,174 ","$18,174 ",100%,-,-
1355,The Cranes Are Flying,"$17,923 ","$17,923 ",100%,-,-
1356,Citizen K,"$17,076 ","$15,195 ",89%,"$1,881 ",11%
1357,Joseph Pulitzer: Voice of the People,"$16,970 ","$16,970 ",100%,-,-
1358,Chained for Life,"$16,826 ","$16,826 ",100%,-,-
1359,The Perfect Race,"$16,498 ","$16,498 ",100%,-,-
1360,Virginia Minnesota,"$16,118 ","$16,118 ",100%,-,-
1361,Starfish,"$15,849 ","$15,849 ",100%,-,-
1362,Trinity Seven The Movie 2: Heavens Library & Crimson Lord,"$15,712 ","$15,712 ",100%,-,-
1363,The Competition 2019 Re-release,"$15,622 ","$15,622 ",100%,-,-
1364,Between the Lines,"$15,383 ","$15,383 ",100%,-,-
1365,Funan,"$15,152 ","$15,152 ",100%,-,-
1366,Wrinkles the Clown,"$14,938 ","$14,938 ",100%,-,-
1367,ZZ Top: That Little Ol' Band from Texas,"$14,879 ","$14,879 ",100%,-,-
1368,My Son 2019 Re-release,"$14,450 ","$14,450 ",100%,-,-
1369,Combat Obscura,"$14,242 ","$14,242 ",100%,-,-
1370,Screwball,"$13,967 ","$13,967 ",100%,-,-
1371,Genesis,"$13,856 ","$6,784 ",49%,"$7,072 ",51%
1372,This One's for the Ladies,"$13,688 ","$13,688 ",100%,-,-
1373,The Woman Who Loves Giraffes,"$13,520 ","$13,520 ",100%,-,-
1374,Rapid Response,"$13,294 ","$13,294 ",100%,-,-
1375,Off Season,"$12,544 ","$12,544 ",100%,-,-
1376,Bricked,"$12,201 ","$12,201 ",100%,-,-
1377,Zen for Nothing,"$12,107 ","$12,107 ",100%,-,-
1378,Imprisoned,"$12,050 ","$12,050 ",100%,-,-
1379,Quartet,"$12,042 ","$12,042 ",100%,-,-
1380,"Cassandro, The Exotico!","$11,897 ","$11,897 ",100%,-,-
1381,In Like Flynn,"$11,255 ","$11,255 ",100%,-,-
1382,Made Me Do It,"$11,151 ","$11,151 ",100%,-,-
1383,Suburban Birds,"$10,997 ","$10,997 ",100%,-,-
1384,If the Dancer Dances,"$10,912 ","$10,912 ",100%,-,-
1385,Vision Portraits,"$10,771 ","$10,771 ",100%,-,-
1386,Olivia,"$9,934 ","$9,934 ",100%,-,-
1387,Streetwise,"$9,904 ","$9,904 ",100%,-,-
1388,The Spanish Prisoner 2019 Re-release,"$9,589 ","$9,589 ",100%,-,-
1389,Stuffed,"$9,458 ","$9,458 ",100%,-,-
1390,Fritz Lang's Indian Epic 2019 re-release,"$9,345 ","$9,345 ",100%,-,-
1391,A Dark Place,"$9,212 ",-,-,"$9,212 ",100%
1392,Cracked Up,"$9,197 ","$9,197 ",100%,-,-
1393,Frantz Fanon: Black Skin White Mask,"$9,025 ","$9,025 ",100%,-,-
1394,The Meanest Man in Texas,"$8,850 ","$8,850 ",100%,-,-
1395,That Part Feeling - the Universe of Arvo Part,"$8,812 ","$8,812 ",100%,-,-
1396,The Dead Center,"$8,320 ","$8,320 ",100%,-,-
1397,Angels Are Made Of Light,"$7,919 ","$7,919 ",100%,-,-
1398,This Magnificent Cake!,"$7,888 ","$7,888 ",100%,-,-
1399,Ghost Fleet,"$7,850 ","$7,850 ",100%,-,-
1400,The Plagiarists,"$7,768 ","$7,768 ",100%,-,-
1401,I'll Take Your Dead,"$7,692 ","$7,692 ",100%,-,-
1402,Gregory's Girl,"$7,321 ","$7,321 ",100%,-,-
1403,Beloved Beast,"$7,301 ","$7,301 ",100%,-,-
1404,Shooting the Mafia,"$7,228 ","$7,228 ",100%,-,-
1405,Dying to Survive 2019 Re-release,"$6,752 ","$6,752 ",100%,-,-
1406,Under the Eiffel Tower,"$6,291 ","$6,291 ",100%,-,-
1407,Relaxer,"$6,133 ","$6,133 ",100%,-,-
1408,Série noire,"$5,633 ","$5,633 ",100%,-,-
1409,The Miracle of the Little Prince,"$5,553 ","$5,553 ",100%,-,-
1410,Chokehold,"$5,200 ","$5,200 ",100%,-,-
1411,100 Acres of Hell,"$5,152 ","$5,152 ",100%,-,-
1412,Body at Brighton Rock,"$5,123 ","$5,123 ",100%,-,-
1413,Chulas Fronteras,"$5,021 ","$5,021 ",100%,-,-
1414,The Garden,"$5,006 ","$5,006 ",100%,-,-
1415,Malek,"$4,898 ","$4,898 ",100%,-,-
1416,I'm Leaving Now,"$4,488 ","$4,488 ",100%,-,-
1417,SGT. Will Gardner,"$4,405 ","$4,405 ",100%,-,-
1418,Tito and the Birds,"$4,332 ","$4,332 ",100%,-,-
1419,The Fate of Lee Khan,"$4,295 ","$4,295 ",100%,-,-
1420,State Like Sleep,"$4,282 ","$4,282 ",100%,-,-
1421,The Gliksmans,"$4,080 ","$4,080 ",100%,-,-
1422,La Flor,"$4,032 ","$4,032 ",100%,-,-
1423,Mother of a Day,"$3,919 ","$3,919 ",100%,-,-
1424,Wallflower,"$3,801 ","$3,801 ",100%,-,-
1425,The Wandering Soap Opera,"$3,624 ","$3,624 ",100%,-,-
1426,Rottentail,"$3,383 ","$3,383 ",100%,-,-
1427,Chasing Portraits,"$3,076 ","$3,076 ",100%,-,-
1428,When Lambs Become Lions,"$2,943 ","$2,943 ",100%,-,-
1429,The Song of Names,"$2,881 ",-,-,"$2,881 ",100%
1430,Back to the Fatherland,"$2,697 ","$2,697 ",100%,-,-
1431,Joan the Maid 1: The Battles,"$2,562 ","$2,562 ",100%,-,-
1432,TINY: The Life of Erin Blackwell,"$2,465 ","$2,465 ",100%,-,-
1433,I Lost Albert 2019 Re-release,"$2,354 ","$2,354 ",100%,-,-
1434,Serendipity,"$2,298 ","$2,298 ",100%,-,-
1435,Jihadists,"$2,104 ","$2,104 ",100%,-,-
1436,A German Youth,"$1,834 ","$1,834 ",100%,-,-
1437,Jimi Hendrix Electric Church,"$1,818 ",-,-,"$1,818 ",100%
1438,Game Day,"$1,624 ","$1,624 ",100%,-,-
1439,The Hours and Times,"$1,273 ","$1,273 ",100%,-,-
1440,The Untold Story,$790 ,$790 ,100%,-,-
1441,The Portal,$685 ,-,-,$685 ,100%
